"Approach" "NbVarSelected" "NbVarInf" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_test" "Specificity_test" "Sensitivity_test" "MCC_test" "AUC" "Youden" "YoudenSensitivity" "YoudenSpecificity" "TPR" "TNR" "MAE" "Runtime" "TrainingTime" "TestTime" "VarSelected"
"1" "CFS" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.849 0.855072463768116 0.843326885880077 0.698045819203041 0.849199674824097 0.453348464991463 0.87137330754352 0.834368530020704 0.843326885880077 0.855072463768116 0.206539397276424 2.31 0.0700000000000003 0.0199999999999996 "x1;x2"
"2" "CHI2" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.849 0.855072463768116 0.843326885880077 0.698045819203041 0.849199674824097 0.453348464991463 0.87137330754352 0.834368530020704 0.843326885880077 0.855072463768116 0.206539397276424 2.22 0.0800000000000018 0 "x1;x2"
"3" "FULL" 25 3 0.12 0 1 0 0.856 0.86231884057971 0.850096711798839 0.71205492691764 0.856207776189275 0.443257948139116 0.878143133462282 0.837474120082816 0.850096711798839 0.86231884057971 0.197514602503602 1.92 0.110000000000003 0.0300000000000011 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22"
"4" "GAMMA_BACK" 3 3 1 1 1 1 0.858 0.863354037267081 0.852998065764023 0.716008104018252 0.858176051515552 0.55569672164938 0.830754352030948 0.889233954451346 0.852998065764023 0.863354037267081 0.197119174074445 5.45 0.0500000000000007 0 "x1;x2;x3"
"5" "GAMMA_BF" 3 3 1 1 1 1 0.858 0.863354037267081 0.852998065764023 0.716008104018252 0.858176051515552 0.55569672164938 0.830754352030948 0.889233954451346 0.852998065764023 0.863354037267081 0.197119174074445 0.469999999999999 0.0500000000000007 0.0199999999999996 "x1;x2;x3"
"6" "GAMMA_FORW" 3 3 1 1 1 1 0.858 0.863354037267081 0.852998065764023 0.716008104018252 0.858176051515552 0.55569672164938 0.830754352030948 0.889233954451346 0.852998065764023 0.863354037267081 0.197119174074445 0.390000000000001 0.0600000000000023 0.0300000000000011 "x1;x2;x3"
"7" "LASSO" 3 3 1 1 1 1 0.858 0.863354037267081 0.852998065764023 0.716008104018252 0.858176051515552 0.55569672164938 0.830754352030948 0.889233954451346 0.852998065764023 0.863354037267081 0.197119174074445 2.65 0.0400000000000027 0.0199999999999996 "x1;x2;x3"
"8" "RFI" 2 2 0.96 1 0.666666666666667 0.798549409504691 0.849 0.855072463768116 0.843326885880077 0.698045819203041 0.849199674824097 0.453348464991463 0.87137330754352 0.834368530020704 0.843326885880077 0.855072463768116 0.206539397276424 9.61 0.0700000000000003 0.0100000000000016 "x1;x2"
"9" "STEP" 7 3 0.84 0.818181818181818 1 0.592156525463792 0.858 0.866459627329193 0.850096711798839 0.716164967445425 0.858278169564016 0.470521432957119 0.867504835589942 0.856107660455487 0.850096711798839 0.866459627329193 0.197616849099199 2.14 0.0599999999999987 0.00999999999999801 "x1;x2;x3;Noise16;Noise18;Noise5;Noise22"
"10" "SU" 1 1 0.92 1 0.333333333333333 0.552770798392567 0.756 0.759834368530021 0.752417794970986 0.511981595853185 0.756126081750504 0.464847776924494 0.784332688588008 0.742236024844721 0.752417794970986 0.759834368530021 0.314007904020929 0.170000000000002 0.0500000000000007 0 "x1"
"11" "SVM-RFE" 3 3 1 1 1 1 0.858 0.863354037267081 0.852998065764023 0.716008104018252 0.858176051515552 0.55569672164938 0.830754352030948 0.889233954451346 0.852998065764023 0.863354037267081 0.197119174074445 26.02 0.0500000000000043 0 "x1;x2;x3"
