"Approach" "NbVarSelected" "NbVarInf" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_test" "Specificity_test" "Sensitivity_test" "MCC_test" "AUC" "YoudenSpe" "YoudenSe" "Youden" "TPR" "TNR" "MAE" "Runtime" "TrainingTime" "TestTime" "VarSelected" "Separation" "Repartition" "NbVar"
"1" "CFS" 2 1 0.985 0.99492385786802 0.333333333333333 0.401014795732804 0.85 0.98780487804878 0.222222222222222 0.37023008801501 0.605013550135501 0.817073170731707 0.833333333333333 0.151763250014765 0.222222222222222 0.98780487804878 0.192703139439519 1.80999999999767 0.0299999999988358 0 "x2;Noise75" "faible" "desequilibre" 200
"2" "CHI2" 2 1 0.985 0.99492385786802 0.333333333333333 0.401014795732804 0.85 0.98780487804878 0.222222222222222 0.37023008801501 0.605013550135501 0.817073170731707 0.833333333333333 0.151763250014765 0.222222222222222 0.98780487804878 0.192703139439519 0.360000000000582 0.0599999999976717 0 "Noise75;x2" "faible" "desequilibre" 200
"3" "FULL" 200 3 0.015 0 1 0 0.48 0.5 0.388888888888889 -0.0854433718937274 0.555555555555556 0.51219512195122 0.611111111111111 0.0547936910531709 0.388888888888889 0.5 0.52109587323444 0.0199999999967986 0.139999999999418 0.0600000000049477 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22;Noise23;Noise24;Noise25;Noise26;Noise27;Noise28;Noise29;Noise30;Noise31;Noise32;Noise33;Noise34;Noise35;Noise36;Noise37;Noise38;Noise39;Noise40;Noise41;Noise42;Noise43;Noise44;Noise45;Noise46;Noise47;Noise48;Noise49;Noise50;Noise51;Noise52;Noise53;Noise54;Noise55;Noise56;Noise57;Noise58;Noise59;Noise60;Noise61;Noise62;Noise63;Noise64;Noise65;Noise66;Noise67;Noise68;Noise69;Noise70;Noise71;Noise72;Noise73;Noise74;Noise75;Noise76;Noise77;Noise78;Noise79;Noise80;Noise81;Noise82;Noise83;Noise84;Noise85;Noise86;Noise87;Noise88;Noise89;Noise90;Noise91;Noise92;Noise93;Noise94;Noise95;Noise96;Noise97;Noise98;Noise99;Noise100;Noise101;Noise102;Noise103;Noise104;Noise105;Noise106;Noise107;Noise108;Noise109;Noise110;Noise111;Noise112;Noise113;Noise114;Noise115;Noise116;Noise117;Noise118;Noise119;Noise120;Noise121;Noise122;Noise123;Noise124;Noise125;Noise126;Noise127;Noise128;Noise129;Noise130;Noise131;Noise132;Noise133;Noise134;Noise135;Noise136;Noise137;Noise138;Noise139;Noise140;Noise141;Noise142;Noise143;Noise144;Noise145;Noise146;Noise147;Noise148;Noise149;Noise150;Noise151;Noise152;Noise153;Noise154;Noise155;Noise156;Noise157;Noise158;Noise159;Noise160;Noise161;Noise162;Noise163;Noise164;Noise165;Noise166;Noise167;Noise168;Noise169;Noise170;Noise171;Noise172;Noise173;Noise174;Noise175;Noise176;Noise177;Noise178;Noise179;Noise180;Noise181;Noise182;Noise183;Noise184;Noise185;Noise186;Noise187;Noise188;Noise189;Noise190;Noise191;Noise192;Noise193;Noise194;Noise195;Noise196;Noise197" "faible" "desequilibre" 200
"4" "GAMMA_BACK" 67 3 0.68 0.6751269035533 1 0.17386650869466 0.61 0.695121951219512 0.222222222222222 -0.0699823430173314 0.458672086720867 0.548780487804878 0.666666666666667 4.08505252838769e-07 0.222222222222222 0.695121951219512 0.384620421291189 306.560000000005 0.0299999999988358 0 "x1;x2;x3;Noise3;Noise6;Noise9;Noise10;Noise11;Noise14;Noise15;Noise16;Noise20;Noise24;Noise26;Noise28;Noise36;Noise44;Noise45;Noise47;Noise51;Noise52;Noise53;Noise56;Noise59;Noise63;Noise68;Noise71;Noise75;Noise79;Noise80;Noise81;Noise82;Noise83;Noise84;Noise85;Noise87;Noise88;Noise90;Noise93;Noise97;Noise101;Noise104;Noise105;Noise108;Noise110;Noise111;Noise112;Noise115;Noise119;Noise123;Noise129;Noise131;Noise136;Noise141;Noise144;Noise146;Noise147;Noise152;Noise155;Noise156;Noise160;Noise169;Noise180;Noise181;Noise183;Noise187;Noise191" "faible" "desequilibre" 200
"5" "GAMMA_BF" 37 2 0.82 0.822335025380711 0.666666666666667 0.153076822261876 0.71 0.829268292682927 0.166666666666667 -0.00415761781531875 0.497967479674797 0.768292682926829 0.5 1.21460838582354e-06 0.166666666666667 0.829268292682927 0.289747245381659 104.75 0.0299999999988358 0 "x2;x3;Noise9;Noise11;Noise16;Noise24;Noise26;Noise43;Noise45;Noise47;Noise51;Noise52;Noise53;Noise59;Noise63;Noise68;Noise71;Noise81;Noise83;Noise84;Noise88;Noise97;Noise104;Noise108;Noise110;Noise111;Noise119;Noise129;Noise131;Noise136;Noise140;Noise146;Noise155;Noise160;Noise180;Noise183;Noise187" "faible" "desequilibre" 200
"6" "GAMMA_FORW" 37 2 0.82 0.822335025380711 0.666666666666667 0.153076822261876 0.71 0.829268292682927 0.166666666666667 -0.00415761781531875 0.497967479674797 0.768292682926829 0.5 1.21460838582354e-06 0.166666666666667 0.829268292682927 0.289747245381659 44.6899999999951 0.0299999999988358 0 "x2;x3;Noise9;Noise11;Noise16;Noise24;Noise26;Noise43;Noise45;Noise47;Noise51;Noise52;Noise53;Noise59;Noise63;Noise68;Noise71;Noise81;Noise83;Noise84;Noise88;Noise97;Noise104;Noise108;Noise110;Noise111;Noise119;Noise129;Noise131;Noise136;Noise140;Noise146;Noise155;Noise160;Noise180;Noise183;Noise187" "faible" "desequilibre" 200
"7" "LASSO" 2 1 0.985 0.99492385786802 0.333333333333333 0.401014795732804 0.83 0.963414634146341 0.222222222222222 0.279522575872516 0.592818428184282 0.695121951219512 0.944444444444444 0.0938918271827994 0.222222222222222 0.963414634146341 0.198558245768195 1.90000000000146 0.0200000000040745 0 "x2;Noise83" "faible" "desequilibre" 200
"8" "RFI" 2 0 0.975 0.989847715736041 0 -0.0124025194556537 0.82 1 0 0 0.5 0.292682926829268 0.833333333333333 0.0572408927452869 0 1 0.25104891878199 0.360000000000582 0.0599999999976717 0 "Noise83;Noise75" "faible" "desequilibre" 200
"9" "STEP" 8 1 0.955 0.964467005076142 0.333333333333333 0.184723998015289 0.75 0.853658536585366 0.277777777777778 0.134429642695306 0.565718157181572 0.853658536585366 0.388888888888889 2.48676974535651e-05 0.277777777777778 0.853658536585366 0.248581369257926 3.88999999999942 0.0299999999988358 0 "x2;Noise136;Noise59;Noise26;Noise169;Noise146;Noise71;Noise20" "faible" "desequilibre" 200
"10" "SU" 2 1 0.985 0.99492385786802 0.333333333333333 0.401014795732804 0.85 0.98780487804878 0.222222222222222 0.37023008801501 0.605013550135501 0.817073170731707 0.833333333333333 0.151763250014765 0.222222222222222 0.98780487804878 0.192703139439519 0.459999999999127 0.0500000000029104 0.0199999999967986 "Noise75;x2" "faible" "desequilibre" 200
