"Approach" "NbVarSelected" "NbVarInf" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_test" "Specificity_test" "Sensitivity_test" "MCC_test" "AUC" "YoudenSpe" "YoudenSe" "Youden" "TPR" "TNR" "MAE" "Runtime" "TrainingTime" "TestTime" "VarSelected" "Separation" "Repartition" "NbVar"
"1" "CFS" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.78 0.833333333333333 0.75 0.56180064773359 0.791666666666667 0.777777777777778 0.9375 0.189931462745366 0.75 0.833333333333333 0.234667758558018 1.15000000000146 0.0499999999992724 0 "x2" "faible" "equilibre" 200
"2" "CHI2" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.78 0.833333333333333 0.75 0.56180064773359 0.791666666666667 0.777777777777778 0.9375 0.189931462745366 0.75 0.833333333333333 0.234667758558018 0.430000000000291 0.0599999999976717 0.0200000000004366 "x2" "faible" "equilibre" 200
"3" "FULL" 200 3 0.015 0 1 0 0.54 0.583333333333333 0.515625 0.0950760913217705 0.549479166666667 0.583333333333333 0.515625 0.499682952683565 0.515625 0.583333333333333 0.460006340946329 0 0.169999999998254 0.0900000000001455 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22;Noise23;Noise24;Noise25;Noise26;Noise27;Noise28;Noise29;Noise30;Noise31;Noise32;Noise33;Noise34;Noise35;Noise36;Noise37;Noise38;Noise39;Noise40;Noise41;Noise42;Noise43;Noise44;Noise45;Noise46;Noise47;Noise48;Noise49;Noise50;Noise51;Noise52;Noise53;Noise54;Noise55;Noise56;Noise57;Noise58;Noise59;Noise60;Noise61;Noise62;Noise63;Noise64;Noise65;Noise66;Noise67;Noise68;Noise69;Noise70;Noise71;Noise72;Noise73;Noise74;Noise75;Noise76;Noise77;Noise78;Noise79;Noise80;Noise81;Noise82;Noise83;Noise84;Noise85;Noise86;Noise87;Noise88;Noise89;Noise90;Noise91;Noise92;Noise93;Noise94;Noise95;Noise96;Noise97;Noise98;Noise99;Noise100;Noise101;Noise102;Noise103;Noise104;Noise105;Noise106;Noise107;Noise108;Noise109;Noise110;Noise111;Noise112;Noise113;Noise114;Noise115;Noise116;Noise117;Noise118;Noise119;Noise120;Noise121;Noise122;Noise123;Noise124;Noise125;Noise126;Noise127;Noise128;Noise129;Noise130;Noise131;Noise132;Noise133;Noise134;Noise135;Noise136;Noise137;Noise138;Noise139;Noise140;Noise141;Noise142;Noise143;Noise144;Noise145;Noise146;Noise147;Noise148;Noise149;Noise150;Noise151;Noise152;Noise153;Noise154;Noise155;Noise156;Noise157;Noise158;Noise159;Noise160;Noise161;Noise162;Noise163;Noise164;Noise165;Noise166;Noise167;Noise168;Noise169;Noise170;Noise171;Noise172;Noise173;Noise174;Noise175;Noise176;Noise177;Noise178;Noise179;Noise180;Noise181;Noise182;Noise183;Noise184;Noise185;Noise186;Noise187;Noise188;Noise189;Noise190;Noise191;Noise192;Noise193;Noise194;Noise195;Noise196;Noise197" "faible" "equilibre" 200
"4" "GAMMA_BACK" 119 3 0.42 0.411167512690355 1 0.101811431316997 0.57 0.5 0.609375 0.106044377676139 0.5546875 0.666666666666667 0.5 0.999999025764582 0.609375 0.5 0.432805115638044 257.790000000001 0.0400000000008731 0.0200000000004366 "x1;x2;x3;Noise5;Noise6;Noise7;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise21;Noise22;Noise26;Noise27;Noise28;Noise31;Noise32;Noise35;Noise38;Noise40;Noise41;Noise42;Noise44;Noise45;Noise47;Noise48;Noise49;Noise50;Noise51;Noise54;Noise55;Noise58;Noise59;Noise61;Noise62;Noise63;Noise64;Noise66;Noise67;Noise69;Noise71;Noise74;Noise80;Noise82;Noise83;Noise85;Noise88;Noise89;Noise90;Noise91;Noise94;Noise96;Noise97;Noise102;Noise103;Noise104;Noise106;Noise111;Noise114;Noise115;Noise119;Noise120;Noise121;Noise122;Noise124;Noise125;Noise126;Noise127;Noise128;Noise129;Noise131;Noise133;Noise134;Noise135;Noise137;Noise139;Noise140;Noise142;Noise143;Noise144;Noise146;Noise147;Noise148;Noise152;Noise153;Noise156;Noise157;Noise158;Noise160;Noise162;Noise164;Noise166;Noise168;Noise169;Noise170;Noise171;Noise172;Noise173;Noise174;Noise175;Noise176;Noise177;Noise178;Noise179;Noise183;Noise184;Noise185;Noise186;Noise187;Noise188;Noise190;Noise193;Noise195" "faible" "equilibre" 200
"5" "GAMMA_BF" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.78 0.833333333333333 0.75 0.56180064773359 0.791666666666667 0.777777777777778 0.9375 0.189931462745366 0.75 0.833333333333333 0.234667758558018 3.29999999999927 0.0299999999988358 0 "x2" "faible" "equilibre" 200
"6" "GAMMA_FORW" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.78 0.833333333333333 0.75 0.56180064773359 0.791666666666667 0.777777777777778 0.9375 0.189931462745366 0.75 0.833333333333333 0.234667758558018 3.07999999999811 0.0400000000008731 0 "x2" "faible" "equilibre" 200
"7" "LASSO" 12 3 0.955 0.954314720812183 1 0.488445166014616 0.76 0.833333333333333 0.71875 0.530424509479351 0.776041666666667 0.916666666666667 0.6875 0.999999628899728 0.71875 0.833333333333333 0.240898754934005 2.30999999999767 0.0299999999988358 0.0200000000004366 "x1;x2;x3;Noise16;Noise31;Noise61;Noise66;Noise91;Noise133;Noise158;Noise161;Noise176" "faible" "equilibre" 200
"8" "RFI" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.78 0.833333333333333 0.75 0.56180064773359 0.791666666666667 0.777777777777778 0.9375 0.189931462745366 0.75 0.833333333333333 0.234667758558018 0.629999999997381 0.0799999999981083 0 "x2" "faible" "equilibre" 200
"9" "STEP" 8 3 0.975 0.974619289340102 1 0.604551266231854 0.81 0.833333333333333 0.796875 0.611017604705375 0.815104166666667 0.861111111111111 0.796875 0.99999949249155 0.796875 0.833333333333333 0.189999989972874 4.52999999999884 0.0300000000024738 0 "x2;x3;x1;Noise91;Noise31;Noise107;Noise32;Noise153" "faible" "equilibre" 200
"10" "SU" 1 1 0.99 1 0.333333333333333 0.57444168510062 0.78 0.833333333333333 0.75 0.56180064773359 0.791666666666667 0.777777777777778 0.9375 0.189931462745366 0.75 0.833333333333333 0.234667758558018 0.530000000002474 0.0499999999992724 0 "x2" "faible" "equilibre" 200
