"Approach" "NbVarSelected" "NbVarInf" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_test" "Specificity_test" "Sensitivity_test" "MCC_test" "AUC" "YoudenSpe" "YoudenSe" "Youden" "TPR" "TNR" "MAE" "Runtime" "TrainingTime" "TestTime" "VarSelected" "Separation" "Repartition" "NbVar"
"1" "CFS" 3 2 0.99 0.99492385786802 0.666666666666667 0.661590524534687 0.82 0.857142857142857 0.695652173913043 0.523998566717246 0.77639751552795 0.792207792207792 0.91304347826087 0.208456084022258 0.695652173913043 0.857142857142857 0.198665020653521 3.06000000001222 0.0500000000029104 0 "x1;x2;Noise182" "forte" "desequilibre" 200
"2" "CHI2" 3 2 0.99 0.99492385786802 0.666666666666667 0.661590524534687 0.82 0.857142857142857 0.695652173913043 0.523998566717246 0.77639751552795 0.792207792207792 0.91304347826087 0.208456084022258 0.695652173913043 0.857142857142857 0.198665020653521 0.44999999999709 0.0800000000017462 0 "x1;x2;Noise182" "forte" "desequilibre" 200
"3" "FULL" 200 3 0.015 0 1 0 0.49 0.506493506493506 0.434782608695652 -0.0494654276620051 0.470638057594579 0.532467532467532 0.565217391304348 1.82146102576958e-05 0.434782608695652 0.506493506493506 0.512488861543445 0 0.160000000003492 0.069999999992433 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22;Noise23;Noise24;Noise25;Noise26;Noise27;Noise28;Noise29;Noise30;Noise31;Noise32;Noise33;Noise34;Noise35;Noise36;Noise37;Noise38;Noise39;Noise40;Noise41;Noise42;Noise43;Noise44;Noise45;Noise46;Noise47;Noise48;Noise49;Noise50;Noise51;Noise52;Noise53;Noise54;Noise55;Noise56;Noise57;Noise58;Noise59;Noise60;Noise61;Noise62;Noise63;Noise64;Noise65;Noise66;Noise67;Noise68;Noise69;Noise70;Noise71;Noise72;Noise73;Noise74;Noise75;Noise76;Noise77;Noise78;Noise79;Noise80;Noise81;Noise82;Noise83;Noise84;Noise85;Noise86;Noise87;Noise88;Noise89;Noise90;Noise91;Noise92;Noise93;Noise94;Noise95;Noise96;Noise97;Noise98;Noise99;Noise100;Noise101;Noise102;Noise103;Noise104;Noise105;Noise106;Noise107;Noise108;Noise109;Noise110;Noise111;Noise112;Noise113;Noise114;Noise115;Noise116;Noise117;Noise118;Noise119;Noise120;Noise121;Noise122;Noise123;Noise124;Noise125;Noise126;Noise127;Noise128;Noise129;Noise130;Noise131;Noise132;Noise133;Noise134;Noise135;Noise136;Noise137;Noise138;Noise139;Noise140;Noise141;Noise142;Noise143;Noise144;Noise145;Noise146;Noise147;Noise148;Noise149;Noise150;Noise151;Noise152;Noise153;Noise154;Noise155;Noise156;Noise157;Noise158;Noise159;Noise160;Noise161;Noise162;Noise163;Noise164;Noise165;Noise166;Noise167;Noise168;Noise169;Noise170;Noise171;Noise172;Noise173;Noise174;Noise175;Noise176;Noise177;Noise178;Noise179;Noise180;Noise181;Noise182;Noise183;Noise184;Noise185;Noise186;Noise187;Noise188;Noise189;Noise190;Noise191;Noise192;Noise193;Noise194;Noise195;Noise196;Noise197" "forte" "desequilibre" 200
"4" "GAMMA_BACK" 105 3 0.49 0.482233502538071 1 0.11738015195303 0.54 0.519480519480519 0.608695652173913 0.107902982385407 0.564088085827216 0.519480519480519 0.608695652173913 0.446594711761017 0.608695652173913 0.519480519480519 0.461068105807218 281.440000000002 0.0500000000029104 0.00999999999476131 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise8;Noise11;Noise12;Noise16;Noise19;Noise20;Noise22;Noise23;Noise24;Noise28;Noise29;Noise32;Noise33;Noise37;Noise41;Noise42;Noise43;Noise44;Noise46;Noise47;Noise50;Noise51;Noise52;Noise53;Noise54;Noise55;Noise57;Noise59;Noise60;Noise61;Noise63;Noise64;Noise67;Noise68;Noise69;Noise73;Noise74;Noise75;Noise76;Noise77;Noise79;Noise81;Noise82;Noise84;Noise87;Noise89;Noise93;Noise95;Noise96;Noise99;Noise100;Noise105;Noise112;Noise113;Noise114;Noise115;Noise118;Noise120;Noise123;Noise125;Noise126;Noise128;Noise131;Noise133;Noise135;Noise139;Noise142;Noise143;Noise145;Noise149;Noise150;Noise151;Noise152;Noise153;Noise154;Noise156;Noise158;Noise161;Noise162;Noise165;Noise166;Noise170;Noise171;Noise172;Noise174;Noise177;Noise180;Noise181;Noise182;Noise185;Noise187;Noise188;Noise189;Noise191;Noise193;Noise194" "forte" "desequilibre" 200
"5" "GAMMA_BF" 5 2 0.98 0.984771573604061 0.666666666666667 0.507182991812448 0.8 0.831168831168831 0.695652173913043 0.48858956781759 0.763410502540937 0.701298701298701 1 0.0819175854694228 0.695652173913043 0.831168831168831 0.205737982611956 10.6999999999971 0.0299999999988358 0.0100000000093132 "x1;x2;Noise46;Noise177;Noise189" "forte" "desequilibre" 200
"6" "GAMMA_FORW" 5 2 0.98 0.984771573604061 0.666666666666667 0.507182991812448 0.8 0.831168831168831 0.695652173913043 0.48858956781759 0.763410502540937 0.701298701298701 1 0.0819175854694228 0.695652173913043 0.831168831168831 0.205737982611956 8.51999999998952 0.0299999999988358 0.0100000000093132 "x1;x2;Noise46;Noise177;Noise189" "forte" "desequilibre" 200
"7" "LASSO" 19 3 0.92 0.918781725888325 1 0.380881607359127 0.78 0.805194805194805 0.695652173913043 0.455731394067176 0.750423489553924 0.896103896103896 0.652173913043478 0.999999977413315 0.695652173913043 0.805194805194805 0.221997589002448 2.27999999999884 0.0599999999976717 0.0100000000093132 "x1;x2;x3;Noise4;Noise11;Noise41;Noise46;Noise47;Noise68;Noise75;Noise87;Noise125;Noise126;Noise153;Noise154;Noise166;Noise171;Noise177;Noise188" "forte" "desequilibre" 200
"8" "RFI" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.84 0.87012987012987 0.739130434782609 0.577522424400315 0.804630152456239 0.753246753246753 1 0.153554148539503 0.739130434782609 0.87012987012987 0.196401739199021 0.589999999996508 0.0600000000122236 0.00999999999476131 "x1;x2" "forte" "desequilibre" 200
"9" "STEP" 6 2 0.975 0.979695431472081 0.666666666666667 0.460567334187357 0.79 0.87012987012987 0.521739130434783 0.39809942298126 0.695934500282326 0.87012987012987 0.521739130434783 0.5 0.521739130434783 0.87012987012987 0.21 4.08999999999651 0.0500000000029104 0 "x1;x2;Noise126;Noise51;Noise131;Noise68" "forte" "desequilibre" 200
"10" "SU" 3 2 0.99 0.99492385786802 0.666666666666667 0.661590524534687 0.82 0.857142857142857 0.695652173913043 0.523998566717246 0.77639751552795 0.792207792207792 0.91304347826087 0.208456084022258 0.695652173913043 0.857142857142857 0.198665020653521 0.530000000013388 0.0500000000029104 0.00999999999476131 "x1;x2;Noise182" "forte" "desequilibre" 200
