"Approach" "NbVarSelected" "NbVarInf" "Accuracy_selection" "Specificity_selection" "Sensitivity_selection" "MCC_selection" "Accuracy_test" "Specificity_test" "Sensitivity_test" "MCC_test" "AUC" "YoudenSpe" "YoudenSe" "Youden" "TPR" "TNR" "MAE" "Runtime" "TrainingTime" "TestTime" "VarSelected" "Separation" "Repartition" "NbVar"
"1" "CFS" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.9 0.933333333333333 0.872727272727273 0.802180628749423 0.903030303030303 0.911111111111111 0.945454545454545 0.326486578673068 0.872727272727273 0.933333333333333 0.160759349475084 1.80000000000291 0.0500000000029104 0 "x1;x2" "forte" "equilibre" 200
"2" "CHI2" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.9 0.933333333333333 0.872727272727273 0.802180628749423 0.903030303030303 0.911111111111111 0.945454545454545 0.326486578673068 0.872727272727273 0.933333333333333 0.160759349475084 0.330000000001746 0.0400000000008731 0.0199999999967986 "x2;x1" "forte" "equilibre" 200
"3" "FULL" 200 3 0.015 0 1 0 0.52 0.533333333333333 0.509090909090909 0.0422200330920749 0.521212121212121 0.533333333333333 0.527272727272727 4.31302203722418e-09 0.509090909090909 0.533333333333333 0.479999999938391 0.0100000000020373 0.139999999999418 0.069999999999709 "x1;x2;x3;Noise1;Noise2;Noise3;Noise4;Noise5;Noise6;Noise7;Noise8;Noise9;Noise10;Noise11;Noise12;Noise13;Noise14;Noise15;Noise16;Noise17;Noise18;Noise19;Noise20;Noise21;Noise22;Noise23;Noise24;Noise25;Noise26;Noise27;Noise28;Noise29;Noise30;Noise31;Noise32;Noise33;Noise34;Noise35;Noise36;Noise37;Noise38;Noise39;Noise40;Noise41;Noise42;Noise43;Noise44;Noise45;Noise46;Noise47;Noise48;Noise49;Noise50;Noise51;Noise52;Noise53;Noise54;Noise55;Noise56;Noise57;Noise58;Noise59;Noise60;Noise61;Noise62;Noise63;Noise64;Noise65;Noise66;Noise67;Noise68;Noise69;Noise70;Noise71;Noise72;Noise73;Noise74;Noise75;Noise76;Noise77;Noise78;Noise79;Noise80;Noise81;Noise82;Noise83;Noise84;Noise85;Noise86;Noise87;Noise88;Noise89;Noise90;Noise91;Noise92;Noise93;Noise94;Noise95;Noise96;Noise97;Noise98;Noise99;Noise100;Noise101;Noise102;Noise103;Noise104;Noise105;Noise106;Noise107;Noise108;Noise109;Noise110;Noise111;Noise112;Noise113;Noise114;Noise115;Noise116;Noise117;Noise118;Noise119;Noise120;Noise121;Noise122;Noise123;Noise124;Noise125;Noise126;Noise127;Noise128;Noise129;Noise130;Noise131;Noise132;Noise133;Noise134;Noise135;Noise136;Noise137;Noise138;Noise139;Noise140;Noise141;Noise142;Noise143;Noise144;Noise145;Noise146;Noise147;Noise148;Noise149;Noise150;Noise151;Noise152;Noise153;Noise154;Noise155;Noise156;Noise157;Noise158;Noise159;Noise160;Noise161;Noise162;Noise163;Noise164;Noise165;Noise166;Noise167;Noise168;Noise169;Noise170;Noise171;Noise172;Noise173;Noise174;Noise175;Noise176;Noise177;Noise178;Noise179;Noise180;Noise181;Noise182;Noise183;Noise184;Noise185;Noise186;Noise187;Noise188;Noise189;Noise190;Noise191;Noise192;Noise193;Noise194;Noise195;Noise196;Noise197" "forte" "equilibre" 200
"4" "GAMMA_BACK" 121 3 0.41 0.401015228426396 1 0.0997122175293549 0.62 0.511111111111111 0.709090909090909 0.224600996931574 0.61010101010101 0.711111111111111 0.6 0.999999999999734 0.709090909090909 0.511111111111111 0.379476971763166 217.139999999999 0.0599999999976717 0.0200000000040745 "x1;x2;x3;Noise2;Noise3;Noise6;Noise8;Noise11;Noise12;Noise13;Noise15;Noise17;Noise19;Noise20;Noise21;Noise22;Noise23;Noise24;Noise26;Noise27;Noise28;Noise29;Noise33;Noise34;Noise38;Noise39;Noise40;Noise42;Noise43;Noise45;Noise49;Noise50;Noise52;Noise54;Noise55;Noise56;Noise58;Noise62;Noise64;Noise65;Noise70;Noise71;Noise73;Noise75;Noise76;Noise78;Noise79;Noise83;Noise84;Noise85;Noise86;Noise88;Noise89;Noise90;Noise94;Noise95;Noise96;Noise97;Noise98;Noise99;Noise100;Noise101;Noise102;Noise103;Noise104;Noise105;Noise106;Noise108;Noise109;Noise110;Noise111;Noise113;Noise114;Noise116;Noise118;Noise119;Noise120;Noise122;Noise124;Noise127;Noise128;Noise129;Noise130;Noise133;Noise135;Noise137;Noise138;Noise139;Noise140;Noise143;Noise145;Noise146;Noise147;Noise148;Noise152;Noise153;Noise155;Noise158;Noise160;Noise162;Noise166;Noise167;Noise168;Noise169;Noise170;Noise171;Noise172;Noise173;Noise175;Noise176;Noise177;Noise179;Noise180;Noise182;Noise184;Noise187;Noise190;Noise193;Noise194;Noise195;Noise196" "forte" "equilibre" 200
"5" "GAMMA_BF" 3 2 0.99 0.99492385786802 0.666666666666667 0.661590524534687 0.89 0.955555555555556 0.836363636363636 0.788580764322604 0.895959595959596 0.933333333333333 0.945454545454545 0.321672595308789 0.836363636363636 0.955555555555556 0.163288602257011 5.65999999999622 0.0200000000040745 0.0199999999967986 "x1;x2;Noise167" "forte" "equilibre" 200
"6" "GAMMA_FORW" 3 2 0.99 0.99492385786802 0.666666666666667 0.661590524534687 0.89 0.955555555555556 0.836363636363636 0.788580764322604 0.895959595959596 0.933333333333333 0.945454545454545 0.321672595308789 0.836363636363636 0.955555555555556 0.163288602257011 4.65000000000146 0.0200000000040745 0.0199999999967986 "x1;x2;Noise167" "forte" "equilibre" 200
"7" "LASSO" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.9 0.933333333333333 0.872727272727273 0.802180628749423 0.903030303030303 0.911111111111111 0.945454545454545 0.326486578673068 0.872727272727273 0.933333333333333 0.160759349475084 1.86000000000058 0.0300000000061118 0 "x1;x2" "forte" "equilibre" 200
"8" "RFI" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.9 0.933333333333333 0.872727272727273 0.802180628749423 0.903030303030303 0.911111111111111 0.945454545454545 0.326486578673068 0.872727272727273 0.933333333333333 0.160759349475084 0.559999999997672 0.0599999999976717 0.0100000000020373 "x2;x1" "forte" "equilibre" 200
"9" "STEP" 6 2 0.975 0.979695431472081 0.666666666666667 0.460567334187357 0.83 0.822222222222222 0.836363636363636 0.657391685602346 0.829292929292929 0.822222222222222 0.836363636363636 0.5 0.836363636363636 0.822222222222222 0.17 3.27999999999884 0.0200000000040745 0 "x2;x1;Noise95;Noise164;Noise68;Noise140" "forte" "equilibre" 200
"10" "SU" 2 2 0.995 1 0.666666666666667 0.814432110921262 0.9 0.933333333333333 0.872727272727273 0.802180628749423 0.903030303030303 0.911111111111111 0.945454545454545 0.326486578673068 0.872727272727273 0.933333333333333 0.160759349475084 0.430000000000291 0.069999999999709 0.0199999999967986 "x2;x1" "forte" "equilibre" 200
